Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Gnai3	641.192027014473	0.121839016687981	0.19722432311741	0.61776871514701	0.53672780866673	0.999974225476612
Cdc45	43.1875204128323	-0.138619701573371	0.444788826151104	-0.31165284158078	0.755304371022341	0.999974225476612
H19	20.7362637962452	-0.29391417744089	0.636216147762847	-0.461972206261021	0.644101251997476	0.999974225476612
Scml2	13.7821061558663	0.513753181255648	0.854181013031916	0.60145703711217	0.547535618946568	0.999974225476612
Apoh	9.59244198450949	1.03972298713911	0.924866801668895	1.12418673182231	0.26093381700424	0.999974225476612
Narf	787.019821526138	0.219855076718094	0.159229431865984	1.38074396260571	0.16735769885993	0.999974225476612
Cav2	325.667270351582	0.114567677529638	0.230852850297081	0.496280108225661	0.619696798608462	0.999974225476612
Klf6	532.645184763042	0.0788800098961153	0.194675887436938	0.405186337838922	0.685340546718634	0.999974225476612
Scmh1	604.195606539205	0.0987808080071928	0.180625352082166	0.546882300122839	0.58445959657349	0.999974225476612
Cox5a	3172.96312051137	-0.209041655800483	0.1747308457859	-1.19636378373985	0.231554627838293	0.999974225476612
Tbx2	23.9020249244576	-0.0484166870496995	0.597852980386	-0.0809842697755551	0.935454462311532	0.999974225476612
Tbx4	1.14594796267826	0.988459443050278	2.56848050157856	0.384842105066704	0.700354401776375	NA
Ngfr	100.966196370688	0.236028991209746	0.315972086552878	0.746993172038465	0.455067682399572	0.999974225476612
Wnt3	171.757229521204	-0.152748331985437	0.312392058673099	-0.488963556353651	0.624867498136406	0.999974225476612
Wnt9a	100.155515154042	-0.156922842654683	0.952963155528384	-0.164668320852001	0.869205052839867	0.999974225476612
Fer	166.955972152901	-0.124569562577622	0.271984042689631	-0.45800320248851	0.646950140474281	0.999974225476612
Xpo6	1264.14145769512	0.234615994669707	0.16398929438224	1.43067872542243	0.15252231321889	0.999974225476612
Tfe3	632.782626740631	0.00812210492798689	0.17475400727041	0.0464773601180942	0.962929778590713	0.999974225476612
Axin2	242.757212138627	0.219210560012077	0.227630758009533	0.963009401404781	0.335542805297795	0.999974225476612
Brat1	250.900750390101	0.187579753845774	0.226286877536128	0.828946671093757	0.407134584490515	0.999974225476612
Gna12	1479.3709236253	0.0297391398108998	0.193680032777594	0.153547783859835	0.877966310973548	0.999974225476612
Slc22a18	23.461335090592	-0.308679459647396	0.574003295324606	-0.537766006156522	0.590738603389449	0.999974225476612
Itgb2l	3.14178672804109	0.432656749282807	1.62448756187229	0.266334294849356	0.78998176313474	NA
Igsf5	5.94683789402665	-0.241814316157875	1.18265167541754	-0.204467909853932	0.837987866479165	NA
Pih1d2	23.3029938148104	-0.542623061406881	0.567964634940381	-0.955381775599179	0.339384666726523	0.999974225476612
Dlat	2088.67122904917	-0.0491739597163535	0.154332269091081	-0.318623966367869	0.750011677419322	0.999974225476612
Sdhd	1891.51074366355	-0.0840998971947599	0.164736924935146	-0.510510301366063	0.609693999479686	0.999974225476612
Fgf23	5.80211805914984	-0.614650514648249	1.14662805197275	-0.536050477389556	0.591923664901406	NA
Ccnd2	301.105921369646	0.276978602604267	0.325013066526974	0.852207591417802	0.394098883959118	0.999974225476612
Gpr107	953.256065418355	-0.0649470914613859	0.157521589940067	-0.412305966985836	0.68011517562737	0.999974225476612
Nalcn	1519.962691455	-0.0676748071847723	0.162765507799756	-0.415781009745812	0.677570256151706	0.999974225476612
Btbd17	490.036063084208	0.200846200732553	0.195497920750832	1.02735722181177	0.304252286979146	0.999974225476612
Slfn4	27.2120748862678	-0.654312599712252	0.824403822905776	-0.793679725314708	0.427381906277766	0.999974225476612
Th	856.824945861035	1.15941238482845	0.227126434465169	5.10470032939406	3.31319125513304e-07	0.000715856385562183
Ins2	4.04056571507126	-1.12509843715647	1.42727694457614	-0.788283199999842	0.430531072234771	NA
Scnn1g	14.1133487618666	-0.0626598728279239	0.852661315062262	-0.0734874113801544	0.94141826125224	0.999974225476612
Drp2	598.630977231344	0.00517832955093484	0.210546323910543	0.0245947279190446	0.980378224540281	0.999974225476612
Tspan32	3.99351444146495	-0.90946435181116	1.33802693966868	-0.679705561112516	0.496690914096571	NA
Lhx2	343.61989552259	0.0631875606990927	0.629285950351871	0.100411523034577	0.920017621943668	0.999974225476612
Clec2g	1.59119158793067	-1.71705806015082	2.70161933554599	-0.635566246346768	0.525059175477429	NA
Gmpr	772.241144345981	-0.199296304117702	0.184701043107802	-1.07902099936372	0.280578366495548	0.999974225476612
Glra1	86.7756839681717	-0.859672273941961	0.485213970055001	-1.77173850506512	0.0764379747521045	0.999974225476612
Mid2	450.648524304311	0.027215878083861	0.220162698399251	0.123617117167172	0.901618438903229	0.999974225476612
Trim25	103.946003400788	-0.195650412626741	0.302606889912851	-0.646549761914169	0.51792338118471	0.999974225476612
Dgke	1196.02363728455	-0.00772005227769401	0.191017503582748	-0.0404154181313008	0.967761938400791	0.999974225476612
Scpep1	251.192073777131	0.017362679186484	0.241112725240451	0.0720106297548954	0.942593448493766	0.999974225476612
Mnt	481.622384171836	-0.0178402430237243	0.191104252236768	-0.0933534592501961	0.925622763126878	0.999974225476612
Itgb2	124.74882065618	0.102381630143028	0.31719830862053	0.322768524801655	0.746870551786909	0.999974225476612
Hddc2	233.947802299155	0.0811442242848952	0.257088839489987	0.315627175593733	0.752285508184779	0.999974225476612
Tpd52l1	262.701885946443	-0.192486204128544	0.255478474672179	-0.753434137163748	0.451189075584244	0.999974225476612
Pemt	40.5986373117976	0.119711683095717	0.486323295054063	0.246156588247349	0.805561019285123	0.999974225476612
Cdh1	87.3695166352323	-0.686189504173159	0.322821196606151	-2.12560238109248	0.0335363811912331	0.999974225476612
Cdh4	386.886711632269	-0.211327765210839	0.230083498817604	-0.918482925967528	0.3583660937528	0.999974225476612
Ckmt1	4268.76450493621	-0.209763857336633	0.177477896840593	-1.18191538817388	0.237239275487359	0.999974225476612
Bcl6b	27.227691537203	-0.165295150885393	0.547063979298499	-0.302149578733645	0.762538039178117	0.999974225476612
Clec10a	23.3270217568123	0.197978503639949	0.698611102588111	0.283388716421064	0.776878877016985	0.999974225476612
Alox12	20.594966427846	0.407670795758608	0.642202976673039	0.634800539029832	0.525558511701987	0.999974225476612
Arvcf	670.24732593192	0.110005632803225	0.181202049581214	0.607088236901652	0.543792356195101	0.999974225476612
Comt	919.912774770411	0.0983903755739412	0.180087149174241	0.546348676321957	0.584826282424986	0.999974225476612
Rtca	1138.08333698147	-0.0984898694400699	0.168221420619003	-0.585477575196175	0.558226640701984	0.999974225476612
Dbt	266.898287788628	-0.154656663917986	0.223995943728014	-0.690444038155341	0.489914990825042	0.999974225476612
Dazap2	2828.20325679837	-0.00932217925914074	0.149837084768879	-0.0622154340063411	0.950391271740646	0.999974225476612
Mcts1	731.367090729189	-0.0427884256808364	0.192963244245216	-0.221743917336201	0.824513239966977	0.999974225476612
Rem1	7.62726095795271	-0.579182997536056	0.976664600927039	-0.593021388290619	0.553166838493878	0.999974225476612
Rnf17	16.0097001030417	0.915767684349591	0.75173447700875	1.21820631134753	0.223145581878466	0.999974225476612
Trappc10	1315.53102097336	0.0650463634622498	0.164051096520596	0.396500632070346	0.691735741664278	0.999974225476612
Ccm2	831.501877462854	-0.108271114087355	0.205267373567246	-0.527463825379364	0.597871530995543	0.999974225476612
Tbrg4	503.071807696344	0.0862790905976631	0.180177529375334	0.478855997730618	0.632041076278756	0.999974225476612
Tmprss2	5.51187848378016	-0.185780558232258	1.13339971562912	-0.163914421073537	0.86979851427688	NA
Mx1	6.62048850130935	-0.0533942724511434	1.10250001840941	-0.0484301782853262	0.961373408722625	NA
Fap	35.3986461491813	-0.473974947007334	0.494770181310448	-0.957969911913375	0.33807793084332	0.999974225476612
Gcg	2.36529120721492	0	2.78479212866906	0	1	NA
Ndufa9	2748.23355887248	-0.149677342247309	0.154109305976579	-0.971241426978182	0.331428068845442	0.999974225476612
Egfl6	16.4761188775863	0.197382298473974	0.697022102109615	0.283179396860694	0.777039321149592	0.999974225476612
Lck	22.615865426567	-0.236981303125426	0.685690968770761	-0.34560948578667	0.729636216178223	0.999974225476612
Tssk3	1.12779081581259	2.50575282881928	2.78033219199415	0.901242245813102	0.367459533704904	NA
Cttnbp2	995.448390721073	0.267059231151342	0.197888898308658	1.34954124983199	0.177163180202254	0.999974225476612
